word,translation,freq,category,example,diff
action-oriented,行动导向的,1,physiology,Action-oriented: Goals should indicate what needs to be done.,hard
active recovery,主动恢复,2,prescription,"Therefore, if the primary indication of the test is suspected IHD and nonsignifi",hard
activity limitation,活动受限,3,cardiovascular,Vital signs: prevalence of doctor-diagnosed arthritis and arthritis-attributable,hard
activity-associated,activity相关的,1,assessment,These factors are included because the risk for activity-associated sudden cardi,hard
activity-induced,activity引起的,1,physiology,"In practice, increased efforts need to be made to get people with ID and DS into",hard
activity-related,activity相关的,1,physiology,Physical Functioning in Low Back Pain: Exploring Different Activity-Related Beha,hard
acute low back pain,急性腰痛,1,physiology,43. University of Michigan Health System. Acute Low Back Pain,hard
acute mountain sickness,急性高山病,4,physiology,"Beginning within hours of a rapid ascent to a given altitude, AMS may begin to p",hard
adenosine-stress,腺苷应激,1,cardiovascular,"symptoms of CAD, found that screening with adenosine-stress radionuclide",hard
adiposity,肥胖,15,fitness,"Moreover, the distribution of body weight and composition proportions are known ",medium
aerobic threshold,有氧阈,3,assessment,,hard
aerobic-based,有氧基础的,2,physiology,"However, interval training is not limited to only aerobic-based exercises (e.g.,",hard
aerobic-type,有氧类型,1,cardiovascular,An Ex Rx featuring moderate-to-vigorous intensity continuous training consisting,hard
aetiology,病因学,1,physiology,Aetiology of sudden cardiac death in athletes in the United Kingdom: a pathologi,hard
affect-based,affect基础的,1,physiology,Affect-based exercise prescription: An idea whose time has come?,hard
affect-guided,affect指导的,1,physiology,Cardiorespiratory fitness moderates the effect of an affect-guided physical acti,hard
african-american,非裔美国人,1,physiology,"Furthermore, death rates seem to be higher in African American male athletes and",hard
aging-alzheimer,衰老-阿尔茨海默,1,metabolism,Toward defining the preclinical stages of Alzheimer’s disease: recommendations f,hard
aging-related,衰老相关的,2,metabolism,Federal Interagency Forum on Aging-Related Statistics.,hard
agiovlasitis,agiovlasitis炎,2,fitness,"Reviewers for Eleventh Edition Statamis Agiovlasitis, PhD, FACSM, ACSM-CEP Missi",hard
agreed-upon,商定的,1,metabolism,Adheres to all agreed-upon terms with each client and stays within the scope of ,hard
aha,美国心脏协会,62,physiology,As a result of an increasing awareness of the adverse health effects of physical,easy
ahrmax,最大心率储备,1,physiology,aHRmax/peak is the highest value obtained during maximal/peak exercise or it can,hard
air displacement plethysmography,空气置换体积描记法,4,metabolism,Body fat percentage determined from skinfold thickness measurements correlates w,hard
aldosterone,醛固酮,1,metabolism,"The principal causes of secondary hypertension are chronic kidney disease, renal",hard
alkalosis,碱中毒,1,physiology,"These responses then produce a respiratory alkalosis, which leads to renal compe",hard
allodynia,痛觉过敏,2,physiology,Hyperalgesia (increased pain in response to normally painful stimuli) and/or all,hard
altitude sickness,高原病,13,physiology,"At this altitude, individuals will experience small decrements in physical perfo",hard
altitude-related,高原相关的,2,physiology,When moderate-to-severe symptoms and signs of an altitude-related sickness devel,hard
alveolar,肺泡的,1,physiology,Interstitial Lung Disease Interstitial lung disease (ILD) encompasses a group of,hard
alzheimer disease,阿尔茨海默病,4,rehabilitation,Alzheimer disease in the United States (2010–2050) estimated using the 2010 cens,hard
alzheimer-related,alzheimer相关的,1,rehabilitation,Cardiopulmonary exercise testing is well tolerated in people with Alzheimer-rela,hard
alzheimer-type,阿尔茨海默型,1,cardiovascular,Physical activity interventions in preventing cognitive decline and Alzheimer-ty,hard
amphetamine,安非他命,1,cardiovascular,"preferences, stimulants (such as amphetamine or methylphenidate) are",hard
ample,充足的,8,physiology,"Provided ample systematic reviews and meta-analyses, an overview of reviews can ",medium
amplification,放大,1,physiology,Evidence suggests that fibromyalgia is in part a central nervous system (CNS)-dr,hard
amplifies,放大,1,physiology,High-intensity resistance training amplifies muscle hypertrophy and functional g,hard
amplitude,幅度,11,physiology,Box 11.1 Common Movement Disorders in Individuals with Parkinson’s Disease (258),medium
amputation,截肢,2,musculoskeletal,"These can be useful options for individuals with balance issues, amputation, ext",hard
ams,急性高山病,22,musculoskeletal,"Beginning within hours of a rapid ascent to a given altitude, AMS may begin to p",easy
amyocardial,心肌的,1,cardiovascular,"(149) 1982– 1998 292,254 1/146,127d 1/97,418d 0/292,254 1/58,451 Average 1/116,9",hard
anabolic,合成代谢的,3,physiology,"Additionally, the use of oral anabolic steroids has been associated with a 20%–7",hard
anaerobic threshold,无氧阈,3,cardiovascular,Anaerobic threshold and respiratory gas exchange during exercise.,hard
androgenic-anabolic,androgenic-anabol的,1,physiology,Hormonal Human growth hormone ↔ Rest and exercise ↔ ↔ ↑ Performance and V∙ O2max,hard
aneurysm,动脉瘤,1,physiology,Coronary artery aneurysm,hard
angina,心绞痛,44,cardiovascular,The clinical exercise test typically continues until the individual reaches a si,easy
angina-like,心绞痛样,1,cardiovascular,Onset of angina or angina-like symptoms,hard
angiography,血管造影,7,metabolism,Both are appropriate for individuals with or without a history of IHD being cons,medium
angiotensin-converting,血管紧张素转换,3,metabolism,"He takes a statin, an angiotensin-converting enzyme (ACE) inhibitor, and aspirin",hard
angiotensin-neprilysin,血管紧张素-脑啡肽酶,1,metabolism,Effects of angiotensin-neprilysin inhibition compared to angiotensin inhibition ,hard
anhydrosis,无汗症,1,physiology,"During exercise, autonomic neuropathy may cause chronotropic incompetence (i.e.,",hard
ankle-brachial,踝肱,1,physiology,Limitation of the resting ankle-brachial index in symptomatic patients with peri,hard
ankylosing spondylitis,强直性脊柱炎,4,musculoskeletal,Physiotherapy interventions for ankylosing spondylitis.,hard
anthropometric,人体测量的,12,musculoskeletal,"Anthropometric Methods Height, Weight, and Body Mass Index Body weight should be",hard
anthropometrical,人体测量的,1,musculoskeletal,"interval training on selected anthropometrical, physiological and functional par",hard
anthropometrics,人体测量学,2,musculoskeletal,Assessment of body composition and anthropometrics in ID is important because of,hard
anthropometry,人体测量法,2,musculoskeletal,Prediction of one repetition maximum strength from multiple repetition maximum t,hard
anti-doping,反兴奋剂,5,physiology,Most of the common asthma treatment medications are permitted in athletic compet,hard
anti-hypertensive,抗高血压药,1,cardiovascular,Resistance training to re- duce resting blood pressure and increase muscle stren,hard
anti-inflammatory,抗炎的,3,physiology,"Thus, regular exercise plays an important role in weight control and achieving a",hard
antiplatelet,抗血小板药,1,physiology,She reports no signs or symptoms and takes a cholesterol-lowering statin and ant,hard
antithromboembolic,抗血栓栓塞的,1,musculoskeletal,"compressive antithromboembolic stockings, an elastic abdominal binder, electrica",hard
anxiety-inducing,诱导焦虑的,1,assessment,"Importantly, this also means that participation in these types of activities may",hard
aortic stenosis,主动脉瓣狭窄,9,cardiovascular,These data clearly indicate that the most common causes of SCD in young individu,hard
apolipoprotein,载脂蛋白,1,metabolism,"syndrome; apoB, apolipoprotein B; ASCVD, atherosclerotic cardiovascular disease;",hard
aquatic exercise,水中运动,5,assessment,"Type Activities with low joint stress, such as walking, cycling, swimming, or aq",hard
aquatic-based,aquatic基础的,1,physiology,These effects are reported for land- and aquatic-based exercise training and for,hard
arm curl,臂弯举测试,3,assessment,"Meanwhile, strength can be evaluated by manual muscle testing, arm curl tests, R",hard
arrhythmia,心律失常,3,cardiovascular,Uncontrolled cardiac arrhythmia with hemodynamic compromise,hard
arterial,动脉的,51,physiology,Exercise & Sports Science Australia (ESSA) position statement on exercise prescr,easy
arterial-venous,动静脉的,1,cardiovascular,V∙ O2max is the product of the maximal cardiac output (Q·; L blood ∙ min−1) and ,hard
arteries,动脉,4,physiology,"Includes aberrant artery origin and course, tunneled arteries, and other abnorma",hard
arteriosclerosis,动脉硬化,1,physiology,"diometabolic Health; Council on Arteriosclerosis, Throm-",hard
arteriovenous,动静脉的,5,cardiovascular,Palpitations also often result from anxiety states and high cardiac output (or h,hard
arthralgia,关节痛,1,metabolism,"arthralgia,",hard
arthritis-attributable,关节炎导致的,2,physiology,Vital signs: prevalence of doctor-diagnosed arthritis and arthritis-attributable,hard
arthritis-related,关节炎相关的,1,physiology,"Among adults in the United States, approximately 23% (54.4 million) report havin",hard
asbestosis,石棉肺,1,physiology,"These disorders include IPF, asbestosis, sarcoidosis, and drug-induced pneumonit",hard
asd,自闭症谱系障碍,55,physiology,"In all, ASD is a heterogeneous condition with multiple developmental trajectorie",easy
asthma,哮喘,52,physiology,"dysrhythmias; peripheral vascular disease; pulmonary disease including asthma, e",easy
asymmetric,不对称的,1,musculoskeletal,"Usually, it is asymmetric and can be suppressed by voluntary activity, sleep, an",hard
asymmetry,不对称,1,musculoskeletal,Association of y balance test reach asymmetry and injury in division I athletes.,hard
atherectomy,斑块旋切术,1,physiology,"Uncomplicated MI, CABG, angioplasty, atherectomy, or stent:",hard
atherosclerosis,动脉粥样硬化,8,cardiovascular,"Among those 30–35 yr and older, exercise-related SCD can most often be attribute",hard
atherosclerosis-related,动脉粥样硬化相关的,1,cardiovascular,"Specifically, atherosclerosis-related complications are associated with exercise",hard
athetosis,手足徐动症,1,physiology,,hard
atlanto-occipital,寰枕的,2,assessment,Prevalence of atlanto-occipital and atlantoaxial instability in adults with Down,hard
atp,三磷酸腺苷,6,physiology,fThese values have been updated from those originally presented to ensure consis,medium
atrial fibrillation,心房颤动,5,physiology,"Lastly, the resting ECG should be examined for abnormalities that may preclude t",hard
atrioventricular block,房室传导阻滞,2,cardiovascular,"atrioventricular block, that interferes with normal maintenance of cardiac outpu",hard
ats,美国胸科学会,5,physiology,The American Thoracic Society and European Respiratory Society have published te,medium
attention-deficit,注意缺陷,11,assessment,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER Attention-deficit/hyperactivity disorde,hard
autism spectrum disorder,自闭症谱系障碍,25,cardiovascular,"In all, ASD is a heterogeneous condition with multiple developmental trajectorie",easy
autoimmune,自身免疫的,4,physiology,T1DM is most often caused by the autoimmune destruction of the insulin producing,hard
av block,房室传导阻滞,2,physiology,Specific indications for pacemakers include sick sinus syndrome with symptomatic,hard
avoidance-endurance,回避-耐力,1,physiology,Fear-avoidance- and endurance- related responses to pain: development and valida,hard
axonal,轴突的,1,physiology,The resulting effects of these immune responses include axonal or neuronal loss ,hard
back scratch,后背抓挠测试,1,rehabilitation,"Flexibility can be assessed with goniometry, the sit-and- reach test, and the ba",hard
back-saver,背部保护,1,physiology,"flexibility (i.e., back-saver sit-and-reach test and shoulder stretch) (33).",hard
back-scratch,背部抓挠,1,rehabilitation,"Flexibility can be assessed with goniometry, the sit-and- reach test, and the ba",hard
balance error scoring system,平衡错误评分系统,1,physiology,Two common field assessments of balance are the Balance Error Scoring System (BE,hard
balance training,平衡训练,21,fitness,"physical fitness. However, balance training can reduce the risk of ankle sprains",easy
balke,Balke方案,2,physiology,"Because of the low functional capacity in this population, more conservative tre",hard
ballistic stretching,弹震式拉伸,2,prescription,Even though PNF stretching has been suggested to yield greater gains than static,hard
bariatric,减重的,17,physiology,Bariatric Surgery Surgery for weight loss may be indicated for individuals with ,medium
bariatric surgery,减重手术,16,physiology,Bariatric Surgery Surgery for weight loss may be indicated for individuals with ,hard
barometric,气压的,1,musculoskeletal,Monitor the weather: A drop in barometric pressure with worsening weather can mo,hard
basement,base过程,1,assessment,"Conversely, another individual may start an exercise program, work too hard and ",hard
bess,平衡误差评分系统,5,physiology,Two common field assessments of balance are the Balance Error Scoring System (BE,medium
beta-adrenergic,β肾上腺素能的,2,metabolism,Predicting maximum heart rate among patients with coronary heart disease receivi,hard
beta-hydroxy-beta-methyl,β-羟基-β-甲基,1,musculoskeletal,An umbrella re- view of systematic reviews of beta-hydroxy-beta-methyl butyr- at,hard
between-study,研究间,1,physiology,There remains some debate regarding the between-study variability of incidence r,hard
between-subject,受试者间,1,physiology,Several methods have been used to convert loads between %1RM and repetition maxi,hard
bgrade,B级,1,assessment,"bGrade is grade percentage expressed in decimal format (e.g., 10% = 0.10).",hard
bia,生物电阻抗分析,7,assessment,Bioelectrical impedance analysis (BIA) is occasionally used as an assessment tec,medium
binder-macleod,宾德-麦克劳德,1,musculoskeletal,"131. Stackhouse SK, Binder-Macleod SA, Lee SC. Voluntary muscle",hard
bioelectrical impedance analysis,生物电阻抗分析,3,cardiovascular,Bioelectrical impedance analysis (BIA) is occasionally used as an assessment tec,hard
biogenesis,生物发生,1,physiology,Resistance training increases muscle mitochondrial biogenesis in patients with c,hard
biology,生物学,5,physiology,bosis and Vascular Biology; Council on Clinical Cardiology;,medium
biopsychosocial,生物心理社会的,2,assessment,"The biopsychosocial model is the prevailing framework used for understanding, ma",hard
biopsychosocial model,生物心理社会模式,1,rehabilitation,"The biopsychosocial model is the prevailing framework used for understanding, ma",hard
blanco-rambo,布兰科-兰博,1,physiology,"Bandeira-Guimaraes M, Blanco-Rambo E, Vieira AF, et al.",hard
blasco-lafarga,布拉斯科-拉法尔加,1,physiology,"Rodrigo-Mallorca D, Loaiza-Betancur AF, Monteagudo P, Blasco-Lafarga C, Chulvi-M",hard
block periodization,板块周期化,1,prescription,Periodization and block periodization in sports: emphasis on strength-power trai,hard
blood,血液,231,physiology,"Training to momentary muscle fatigue, equipment type, exercise complexity, set s",easy
blood flow restriction,血流限制训练,8,physiology,"Training to momentary muscle fatigue, equipment type, exercise complexity, set s",hard
blood pressure,血压,87,rehabilitation,Resistance training to re- duce resting blood pressure and increase muscle stren,easy
blood-tinged,带血的,1,physiology,"Initial symptoms include shortness of breath with exertion, progressing to short",hard
bmd,贝克肌营养不良,12,musculoskeletal,"However, age, sex, race, training status, and certain disease states may affect ",medium
bmet,生物医学工程技术员,1,musculoskeletal,bMET values can vary substantially from individual to individual during swimming,hard
bmi,身体质量指数,55,cardiovascular,"Although her body mass index (BMI) is slightly above normal, she reports no sign",easy
bocanegra-parrilla,博卡内格拉-帕里利亚,1,musculoskeletal,"Mayorga-Vega D, Bocanegra-Parrilla R, Ornelas M, Viciana J.",hard
body composition,身体成分,73,fitness,"Effects of short-term strength training on body composition, muscle strength and",easy
borg,Borg量表,37,physiology,"Two RPE scales are widely used: (a) the original Borg or category scale, which r",easy
borg scale,Borg量表,7,prescription,"More recently, the Lifestyle Interventions and Independence for Elders (LIFE) st",hard
borges-cosic,borges-cos的,1,physiology,"Segura-Jiménez V, Borges-Cosic M, Soriano-Maldonado A, et al.",hard
borrell-carri,博雷尔-卡里,1,physiology,,hard
borthwick-duffy,博思威克-达菲,1,physiology,"Schalock RL, Borthwick-Duffy SA, Bradley VJ, et al.",hard
bottom-line,底线,2,musculoskeletal,"The details, bottom-line statement, standardized effectiveness statement, and Qo",hard
bradycardia,心动过缓,7,physiology,"These include tachycardia, bradycardia of sudden onset, ectopic beats, compensat",medium
brain,脑,64,physiology,The 11th edition of the Guidelines presents a new chapter focused on the role of,easy
brain-computer,脑机,1,physiology,"[BWSTT], robotic exoskeletons), and other hybrid forms including brain-computer ",hard
brain-derived,脑源性,3,physiology,Treadmill exercise and methylphenidate ameliorate symptoms of attention deficit/,hard
brain-related,脑相关的,13,physiology,Chapter 11: Brain Health and Brain-Related Disorders,hard
brainstorm,头脑风暴,1,physiology,"steps: (a) identify the barrier, (b) brainstorm ways to overcome the barrier,",hard
brainstorming,头脑风暴,1,cardiovascular,(c) select a strategy generated in brainstorming viewed as most likely to be,hard
breast-cancer-related,breast-cancer相关的,1,physiology,Weight lifting in women with breast-cancer-related lymphedema.,hard
breath-holding,屏气,1,physiology,Inhaling and breath-holding while engaging in the actual lifting of a weight (i.,hard
brefel-courbon,布雷费尔-库尔邦,1,physiology,"Senard JM, Brefel-Courbon C, Rascol O, Montastruc JL.",hard
broad-reaching,广泛的,1,physiology,"It should be a core component of physical fit- ness programming, as it has broad",hard
brochures,手册,1,physiology,"One common, erroneous assumption people make when culturally tailoring approache",hard
bronchial,支气管的,2,physiology,Effect of physical training on airway inflammation in bronchial asthma: a system,hard
bronchiectasis,支气管扩张,2,physiology,Rehabilitation in patients with chronic respiratory disease other than chronic o,hard
bronchioles,细支气管,1,physiology,"airspaces distal to the terminal bronchioles, accompanied by",hard
bronchitis,支气管炎,6,physiology,"Additionally, many individuals may develop a sore throat and bronchitis from dri",medium
bronchoconstriction,支气管收缩,18,physiology,An official American Thoracic Society clinical practice guideline: exercise-indu,hard
bronchodilation,支气管扩张,2,physiology,Prospective validation of the endurance shuttle walking test in the context of b,hard
bronchodilator,支气管扩张剂,3,physiology,"Administration of an inhaled bronchodilator (i.e., β2-agonists) (see Appendix A)",hard
bronchodilators,支气管扩张剂,9,physiology,Immediate administration of nebulized bronchodilators with oxygen is usually suc,hard
bronchospasm,支气管痉挛,1,physiology,bronchospasm that is mostly reversible,hard
bruce,Bruce方案,11,physiology,"138. Irving JB, Bruce RA, DeRouen TA. Variations in and significance of systolic",medium
bruininks-oseretsky,布鲁因inks-奥瑟雷茨基,1,physiology,Bruininks-Oseretsky Test of Motor,hard
bscpt,理疗学士,1,musculoskeletal,"Tom Overend, BPE, BScPT, MA, PhD",hard
bundle-branch,束支,5,physiology,"mm of ST-segment depression on their resting ECG, or left bundle-branch block (L",hard
bundle-branch block,束支传导阻滞,5,physiology,"mm of ST-segment depression on their resting ECG, or left bundle-branch block (L",hard
burnout,倦怠,1,cardiovascular,Explore different types of activities they can do to avoid burnout.,hard
burpees,波比跳,1,cardiovascular,"High Intensity Functional Training (HIFT): three rounds for time of: 400-m run, ",hard
cad,冠状动脉疾病,10,physiology,Williams (21) performed a meta-analysis of 23 sex- specific cohorts reporting va,medium
calorimetry,测热法,4,musculoskeletal,Open circuit spirometry is used to measure V∙ O2max during a graded incremental ,hard
camp,营地,4,physiology,TABLE 1.3 • Cardiovascular Causes of Exercise-Related Sudden Death in Young Athl,hard
campaign,活动,1,physiology,"there is a campaign to promote awareness of the path, perhaps combined",hard
campaigns,活动,1,physiology,Influence of health professionals  Community norms  Cultural background  Social ,hard
camping,露营,1,physiology,"The likelihood of trench foot in most sporting activities is low, except in wint",hard
camps,营地,1,musculoskeletal,"For example, a host of interventions have been demonstrated to positively affect",hard
campus,校园,4,physiology,"Since becoming an accountant 6 mo ago, she no longer walks across campus or play",hard
cancer rehabilitation,癌症康复,1,rehabilitation,Impairment-driven cancer rehabilitation: an essential component of quality care ,hard
cancer survivor,癌症幸存者,71,physiology,"testing is not required before walking, resistance, or flexibility activities (7",easy
cancer-related,癌症相关的,6,physiology,Higher volumes of PA are associated with lower risk of developing 13 types of ca,hard
cancer-specific,癌症特异性的,4,cardiovascular,Emerging evidence also suggests that sedentary behavior and screen-based activit,hard
capillary,毛细血管,2,cardiovascular,exercise peripheral capillary oxygen saturation (SpO2) levels >90% due,hard
cardiac-related,心脏相关的,1,cardiovascular,occurrence of a cardiac-related event during exercise training (see Box 2.2).,hard
cardio,有氧,1,physiology,Associations of sitting accumulation patterns with cardio-metabolic risk biomark,hard
cardio-metabolic,心脏代谢的,2,musculoskeletal,Numerous cross-sectional studies have indicated that sedentary behavior is posit,hard
cardio-respiratory,心肺的,2,physiology,Quantity and quality of exercise for developing and maintaining cardiorespirator,hard
cardiogenic,cardiogenic源的,1,physiology,"MI or cardiac surgery complicated by cardiogenic shock, CHF, and/or signs/sympto",hard
cardiol,心脏病学,63,physiology,Eur J Prev Cardiol.,easy
cardiolite,心显像剂,1,physiology,Myocardial perfusion imaging can be performed with a variety of agents and imagi,hard
cardiologist,心脏病学家,3,metabolism,"During the last visit with his cardiologist, which took place 2 yr ago, the card",hard
cardiology,心脏病学,63,physiology,bosis and Vascular Biology; Council on Clinical Cardiology;,easy
cardiometabolic,心脏代谢的,19,musculoskeletal,Numerous cross-sectional studies have indicated that sedentary behavior is posit,hard
cardiomyopathy,心肌病,11,physiology,These data clearly indicate that the most common causes of SCD in young individu,hard
cardioprotective,cardioprotec的,2,rehabilitation,Because of the cardioprotective effect of high-density lipoprotein cholesterol (,hard
cardiopulm,心肺,36,physiology,"utilization, interpretation, and safety in the VAHCS. J Cardiopulm Rehabil.",easy
cardiopulmonary,心肺的,52,physiology,Safety of symptom-limited cardiopulmonary exercise testing in patients with chro,easy
cardiopulmonary exercise test,心肺运动试验,24,prescription,"When an exercise test includes the analysis of expired gases during exercise, it",easy
cardiorenal,心肾的,1,physiology,High intensity interval training favourably affects angiotensinogen mRNA express,hard
cardiorespiratory,心肺的,121,physiology,Quantity and quality of exercise for developing and maintaining cardiorespirator,easy
cardiorespiratory fitness,心肺适能,59,fitness,Midlife cardiorespiratory fitness and the long-term risk of mortality: 46 years ,easy
cardioselective,cardioselec的,1,physiology,cardioselective,hard
cardiotoxicity,cardiotoxicity毒性,2,assessment,"However, requiring medical assessment for metastatic disease and cardiotoxicity ",hard
cardiovasc,心血管,17,physiology,systematic review and meta-analysis. Eur J Cardiovasc Prev Rehabil. 2008;15(3):2,medium
cardiovascular,心血管的,280,physiology,"Weight training and risk of all-cause, cardiovascular disease and cancer mortali",easy
cardiovascular-related,cardiovascular相关的,1,physiology,cardiovascular-related pathology (5).,hard
cardioversion,心脏复律,1,rehabilitation,"If unsuccessful, they can then deliver an electrical shock (i.e., electrical car",hard
cardioverter,心脏复律器,9,physiology,"However, prior studies likely overestimate the risk of today’s individuals given",medium
cardioverter-defibrillator,心脏复律除颤器,1,physiology,"However, prior studies likely overestimate the risk of today’s individuals given",hard
carpenter,卡彭特,1,cardiovascular,"Blair SN, Dunn AL, Marcus BH, Carpenter RA, Jaret P.",hard
carpentry,木工,1,cardiovascular,Carpentry — general = 3.6,hard
carpet,地毯,1,cardiovascular,"Sweeping floors or carpet,",hard
carrasco-poyatos,卡拉斯科-波亚托斯,1,physiology,"Ramos-Campo DJ, Andreu-Caravaca L, Carrasco-Poyatos M, Benito PJ, Rubio-Arias JA",hard
cartilage,软骨,2,musculoskeletal,"swelling (inflammation) of the joint lining (synovitis), damage to articular car",hard
catechol-o-methyltransferase,儿茶酚-O-甲基转移酶,1,musculoskeletal,"COMTIs, catechol-O-methyltransferase inhibitors; ICDs, impulse control disorders",hard
category-ratio,类别比率,6,physiology,"Two RPE scales are widely used: (a) the original Borg or category scale, which r",hard
category-ratio scale,分类比率量表,4,prescription,"Two RPE scales are widely used: (a) the original Borg or category scale, which r",hard
caucasian,白种人,6,assessment,It is important to note that these risk criteria are based on data derived from ,medium
caucasians,白种人,1,assessment,"The Pennington Center Longitudinal Study found that BMI, along with other measur",hard
cause-specific,cause特异性的,3,cardiovascular,"Physical activity, sedentary behavior, and cause-specific mortality in black and",hard
cdc,美国疾病控制与预防中心,11,physiology,"PUBLIC HEALTH PERSPECTIVE FOR CURRENT RECOMMENDATIONS More than 20 yr ago, the A",medium
center-based,中心为基础的,4,physiology,"Interestingly, however, a review of home-based cardiac rehabilitation programs f",hard
centimeter,厘米,1,prescription,where m = distance in meters; yr = year; kg = kilogram; cm = centimeter; RPP =,hard
centimeters,厘米,1,prescription,All values are in centimeters.,hard
cerebral palsy,脑瘫,63,musculoskeletal,"Sisson SB, Katzmarzyk PT, Earnest CP, Bouchard C, Blair SN, Church TS.",easy
cerebrovascular,脑血管的,16,physiology,Stroke rehabilitation using exercise is becoming an important therapy for those ,hard
cerebrovascular accident,脑血管意外,7,musculoskeletal,INDIVIDUALS WITH A CEREBROVASCULAR ACCIDENT (STROKE) When blood flow to a region,hard
cerebrovasculature,cerebrovasculat过程,1,physiology,"When exercising, individuals should always be in a seated position (to ensure an",hard
cerrillo-urbina,塞里略-乌尔维纳,1,physiology,"Cerrillo-Urbina AJ, García-Hermoso A, Sánchez-López M, Martínez-Vizcaíno V.",hard
certification-related,certification相关的,1,physiology,ACSM Certification-Related Content Advisory Committee Chair: Dierdra,hard
chair-rise,椅子起立,1,physiology,Simple equations to predict concentric lower-body muscular power in older adults,hard
champaign,香槟（地名）,42,physiology,ACSM’s Health/Fitness Facility Standards and Guidelines. Champaign (IL): Human K,easy
chemotherapy,化疗,4,physiology,"However, the potential for an adverse cardiopulmonary event might be higher amon",hard
chemotherapy-induced,chemotherapy引起的,2,physiology,"Falls, functioning, and disability among women with persistent symptoms of chemo",hard
children-adolescents,儿童青少年,2,physiology,The prevalence of ADHD worldwide is approximately 5% in children-adolescents and,hard
cholesterol,胆固醇,46,physiology,She reports no signs or symptoms and takes a cholesterol-lowering statin and ant,easy
cholesterol-lowering,cholesterol降低,2,physiology,She reports no signs or symptoms and takes a cholesterol-lowering statin and ant,hard
choreoathetosis,choreoathetosis症,1,physiology,Dyskinesia may be further divided as dystonia and choreoathetosis (119).,hard
chronic disease,慢性疾病,80,physiology,"Beyond attenuating chronic disease risks, additional conclusions regarding the b",easy
chronic low back pain,慢性腰痛,12,physiology,Intensive dynamic back exercises for chronic low back pain: a clinical trial.,hard
chronic obstructive pulmonary disease,慢性阻塞性肺疾病,30,physiology,"However, chronic obstructive pulmonary disease (COPD) and CVD are often comorbid",easy
chronic-fatigue,慢性疲劳,1,physiology,"Several submaximal exercise tests are reliable, valid and acceptable in people w",hard
chulvi-medrano,丘尔维-梅德拉诺,1,cardiovascular,"Rodrigo-Mallorca D, Loaiza-Betancur AF, Monteagudo P, Blasco-Lafarga C, Chulvi-M",hard
chung-chou,钟-周,1,physiology,"169. Freiberg MS, Chung-Chou HC, Skanderson M, et al. Association between HIV in",hard
church-based,church基础的,1,physiology,Healthy body/healthy spirit: a church-based nutrition and physical activity inte,hard
churchward-venne,丘奇沃德-文,1,physiology,"Burd NA, Mitchell CJ, Churchward-Venne TA, Phillips SM.",hard
circuit-based,circuit基础的,2,assessment,"Effects of resistance circuit-based train- ing on body composition, strength and",hard
cirer-sastre,西雷尔-萨斯特雷,1,physiology,"125. Cirer-Sastre R, Beltrán-Garrido JV, Corbi F. Contralateral",hard
cirrhosis,肝硬化,2,assessment,Generalized edema (known as anasarca) occurs in individuals with the nephrotic s,hard
classroom-based,classroom基础的,1,physiology,"Physical education, recess, and classroom-based PA interventions either enhance ",hard
